File,Link
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://doi.org/10.1353/jem.2011.0009
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://edition640.makingandknowing.org/#/essays/ann_058_sp_17
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,https://www.doi.org/10.7916/6ccz-7c74
./docs/fa21_lin+sundar_danli+anusha_final-project_regimens-remedies.md,http://ezproxy.cul.columbia.edu/login?url=https://www.proquest.com/books/cosmeticks-beautifying-part-physick-which-all/docview/2240935566/se-2?accountid=10226
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://edition640.makingandknowing.org/#/folios/139v/f/139v/tl
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://edition640.makingandknowing.org/#/folios/83v/f/83v/tl
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://www.doi.org/10.7916/hbnz-5z03
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://edition640.makingandknowing.org/#/folios/164r/f/164r/tl
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://doi.org/10.7916/8je7-1124
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://edition640.makingandknowing.org/#/folios/141r/f/141r/tl
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://www.jstor.org/stable/1425409
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://doi.org/10.2307/3050690
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://doi.org/10.1080/00026980.2016.1213011
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://edition640.makingandknowing.org/#/entries
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://edition640.makingandknowing.org/#/essays/ann_007_fa_14
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://edition640.makingandknowing.org/#/essays/ann_050_fa_16
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://cu-mkp.github.io/sandbox/docs/breadmolding-assignment.html
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://cu-mkp.github.io/sandbox/docs/stucco-assignment.html
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://clio.columbia.edu/catalog/15121527?counter=2
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://clio.columbia.edu/catalog/15222116
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://clio.columbia.edu/catalog/10972585
./docs/fa21_weisgall_benjamin_final-project-architecture-workshop.md,https://archive.org/details/craftsmanshandbo00cenn/mode/2up
